season,player_team,player_name,leader
2017,Melbourne,Nathan Jones,Captain
2017,Melbourne,Jack Viney,Captain
2018,Melbourne,Nathan Jones,Captain
2018,Melbourne,Jack Viney,Captain
2019,Melbourne,Nathan Jones,Captain
2019,Melbourne,Jack Viney,Captain
2020,Melbourne,Max Gawn,Captain
2021,Melbourne,Max Gawn,Captain
2017,Richmond,Trent Cotchin,Captain
2018,Richmond,Trent Cotchin,Captain
2019,Richmond,Trent Cotchin,Captain
2020,Richmond,Trent Cotchin,Captain
2021,Richmond,Trent Cotchin,Captain
2017,Carlton,Marc Murphy,Captain
2018,Carlton,Marc Murphy,Captain
2019,Carlton,Patrick Cripps,Captain
2019,Carlton,Sam Docherty,Captain
2020,Carlton,Sam Docherty,Captain
2020,Carlton,Patrick Cripps,Captain
2021,Carlton,Patrick Cripps,Captain
2017,Hawthorn,Jarryd Roughead,Captain
2018,Hawthorn,Jarryd Roughead,Captain
2019,Hawthorn,Ben Stratton,Captain
2020,Hawthorn,Ben Stratton,Captain
2021,Hawthorn,Ben McEvoy,Captain
2017,Collingwood,Scott Pendlebury,Captain
2018,Collingwood,Scott Pendlebury,Captain
2019,Collingwood,Scott Pendlebury,Captain
2020,Collingwood,Scott Pendlebury,Captain
2021,Collingwood,Scott Pendlebury,Captain
2017,North Melbourne,Jack Ziebell,Captain
2018,North Melbourne,Jack Ziebell,Captain
2019,North Melbourne,Jack Ziebell,Captain
2020,North Melbourne,Jack Ziebell,Captain
2021,North Melbourne,Jack Ziebell,Captain
2017,Sydney,Josh P. Kennedy,Captain
2018,Sydney,Josh P. Kennedy,Captain
2019,Sydney,Josh P. Kennedy,Captain
2019,Sydney,Dane Rampe,Captain
2019,Sydney,Luke Parker,Captain
2020,Sydney,Dane Rampe,Captain
2020,Sydney,Josh P. Kennedy,Captain
2020,Sydney,Luke Parker,Captain
2021,Sydney,Luke Parker,Captain
2017,Greater Western Sydney,Callan Ward,Captain
2018,Greater Western Sydney,Callan Ward,Captain
2019,Greater Western Sydney,Callan Ward,Captain
2020,Greater Western Sydney,Stephen Coniglio,Captain
2021,Greater Western Sydney,Toby Greene,Captain
2017,Gold Coast,Steven May,Captain
2018,Gold Coast,Steven May,Captain
2019,Gold Coast,David Swallow,Captain
2020,Gold Coast,David Swallow,Captain
2019,Gold Coast,Jarrod Witts,Captain
2020,Gold Coast,Jarrod Witts,Captain
2021,Gold Coast,Jarrod Witts,Captain
2017,Brisbane Lions,Dayne Beams,Captain
2018,Brisbane Lions,Dayne Zorko,Captain
2019,Brisbane Lions,Dayne Zorko,Captain
2020,Brisbane Lions,Dayne Zorko,Captain
2021,Brisbane Lions,Dayne Zorko,Captain
2017,St Kilda,Jarryn Geary,Captain
2018,St Kilda,Jarryn Geary,Captain
2019,St Kilda,Jarryn Geary,Captain
2020,St Kilda,Jarryn Geary,Captain
2021,St Kilda,Jack Steele,Captain
2017,Adelaide,Taylor Walker,Captain
2018,Adelaide,Taylor Walker,Captain
2019,Adelaide,Rory Sloane,Captain
2020,Adelaide,Rory Sloane,Captain
2021,Adelaide,Rory Sloane,Captain
2017,Port Adelaide,Travis Boak,Captain
2018,Port Adelaide,Travis Boak,Captain
2019,Port Adelaide,Ollie Wines,Captain
2020,Port Adelaide,Tom Jonas,Captain
2019,Port Adelaide,Tom Jonas,Captain
2021,Port Adelaide,Tom Jonas,Captain
2017,Western Bulldogs,Robert Murphy,Captain
2018,Western Bulldogs,Easton Wood,Captain
2019,Western Bulldogs,Easton Wood,Captain
2020,Western Bulldogs,Marcus Bontempelli,Captain
2021,Western Bulldogs,Marcus Bontempelli,Captain
2017,West Coast,Shannon Hurn,Captain
2018,West Coast,Shannon Hurn,Captain
2019,West Coast,Shannon Hurn,Captain
2020,West Coast,Luke Shuey,Captain
2021,West Coast,Luke Shuey,Captain
2017,Fremantle,Nat Fyfe,Captain
2018,Fremantle,Nat Fyfe,Captain
2019,Fremantle,Nat Fyfe,Captain
2020,Fremantle,Nat Fyfe,Captain
2021,Fremantle,Nat Fyfe,Captain
2017,Geelong,Joel Selwood,Captain
2018,Geelong,Joel Selwood,Captain
2019,Geelong,Joel Selwood,Captain
2020,Geelong,Joel Selwood,Captain
2021,Geelong,Joel Selwood,Captain
2017,Essendon,Dyson Heppell,Captain
2018,Essendon,Dyson Heppell,Captain
2019,Essendon,Dyson Heppell,Captain
2020,Essendon,Dyson Heppell,Captain
2021,Essendon,Dyson Heppell,Captain